importerFile,importedModule,importedFile,Internal/external,Mapped correctly?
benchmarks/fastrnns/runner.py,fastrnns.factory.lstm_premul_creator,benchmarks/fastrnns/factory.py,INTERNAL,MAPPED
benchmarks/fastrnns/runner.py,fastrnns.factory.lstm_simple_creator,benchmarks/fastrnns/factory.py,INTERNAL,MAPPED
benchmarks/fastrnns/runner.py,fastrnns.factory.pytorch_lstm_creator,benchmarks/fastrnns/factory.py,INTERNAL,MAPPED
benchmarks/fastrnns/test.py,fastrnns.factory.pytorch_lstm_creator,benchmarks/fastrnns/factory.py,INTERNAL,MAPPED
benchmarks/fastrnns/runner.py,fastrnns.factory.varlen_lstm_creator,benchmarks/fastrnns/factory.py,INTERNAL,MAPPED
benchmarks/fastrnns/runner.py,fastrnns.factory.varlen_pytorch_lstm_creator,benchmarks/fastrnns/factory.py,INTERNAL,MAPPED
benchmarks/fastrnns/test.py,fastrnns.factory.varlen_pytorch_lstm_creator,benchmarks/fastrnns/factory.py,INTERNAL,MAPPED
benchmarks/fastrnns/bench.py,fastrnns.fuser.set_fuser,benchmarks/fastrnns/fuser.py,INTERNAL,MAPPED
benchmarks/fastrnns/test_bench.py,fastrnns.fuser.set_fuser,benchmarks/fastrnns/fuser.py,INTERNAL,MAPPED
benchmarks/fastrnns/bench.py,fastrnns.runner.get_nn_runners,benchmarks/fastrnns/runner.py,INTERNAL,MAPPED
benchmarks/fastrnns/profile.py,fastrnns.runner.get_nn_runners,benchmarks/fastrnns/runner.py,INTERNAL,MAPPED
benchmarks/fastrnns/test.py,fastrnns.runner.get_nn_runners,benchmarks/fastrnns/runner.py,INTERNAL,MAPPED
benchmarks/fastrnns/test_bench.py,fastrnns.runner.get_nn_runners,benchmarks/fastrnns/runner.py,INTERNAL,MAPPED
benchmarks/framework_overhead_benchmark/framework_overhead_benchmark.py,C2Module.C2SimpleNet,benchmarks/framework_overhead_benchmark/C2Module.py,INTERNAL,MAPPED
benchmarks/framework_overhead_benchmark/framework_overhead_benchmark.py,pt_wrapper_module.WrapperModule,benchmarks/framework_overhead_benchmark/pt_wrapper_module.py,INTERNAL,MAPPED
